,X,ID,age,age_rounded,category,subCategory,Difference,income,degree
1,1,1,5,5.506849315,Agency,Agency_butterflies,0,between $3000 and $5000,Bachelor's degree
2,2,1,5,5.506849315,Agency,Agency_doors,0,between $3000 and $5000,Bachelor's degree
3,3,1,5,5.506849315,Agency,Agency_envelopes,0,between $3000 and $5000,Bachelor's degree
4,4,1,5,5.506849315,Knowledge,Knowledge_pics,0,between $3000 and $5000,Bachelor's degree
5,5,1,5,5.506849315,Knowledge,Knowledge_poems,0,between $3000 and $5000,Bachelor's degree
6,6,1,5,5.506849315,Knowledge,Knowledge_trivia,6,between $3000 and $5000,Bachelor's degree
7,7,1,5,5.506849315,Novelty,Novelty_animals,0,between $3000 and $5000,Bachelor's degree
8,8,1,5,5.506849315,Novelty,Novelty_objects,0,between $3000 and $5000,Bachelor's degree
9,9,1,5,5.506849315,Novelty,Novelty_repetitions,6,between $3000 and $5000,Bachelor's degree
10,10,1,5,5.506849315,Uncertainty reduction,Uncertainty_cards,6,between $3000 and $5000,Bachelor's degree
11,11,1,5,5.506849315,Uncertainty reduction,Uncertainty_die,6,between $3000 and $5000,Bachelor's degree
12,12,1,5,5.506849315,Uncertainty reduction,Uncertainty_pixels,6,between $3000 and $5000,Bachelor's degree
13,13,2,12,12.65753425,Agency,Agency_butterflies,0,between $2000 and $3000,Bachelor's degree
14,14,2,12,12.65753425,Agency,Agency_doors,0,between $2000 and $3000,Bachelor's degree
15,15,2,12,12.65753425,Agency,Agency_envelopes,0,between $2000 and $3000,Bachelor's degree
16,16,2,12,12.65753425,Knowledge,Knowledge_pics,-5,between $2000 and $3000,Bachelor's degree
17,17,2,12,12.65753425,Knowledge,Knowledge_poems,0,between $2000 and $3000,Bachelor's degree
18,18,2,12,12.65753425,Knowledge,Knowledge_trivia,3,between $2000 and $3000,Bachelor's degree
19,19,2,12,12.65753425,Novelty,Novelty_animals,-2,between $2000 and $3000,Bachelor's degree
20,20,2,12,12.65753425,Novelty,Novelty_objects,2,between $2000 and $3000,Bachelor's degree
21,21,2,12,12.65753425,Novelty,Novelty_repetitions,2,between $2000 and $3000,Bachelor's degree
22,22,2,12,12.65753425,Uncertainty reduction,Uncertainty_cards,4,between $2000 and $3000,Bachelor's degree
23,23,2,12,12.65753425,Uncertainty reduction,Uncertainty_die,3,between $2000 and $3000,Bachelor's degree
24,24,2,12,12.65753425,Uncertainty reduction,Uncertainty_pixels,3,between $2000 and $3000,Bachelor's degree
25,25,3,10,10.10958904,Agency,Agency_butterflies,0,Prefer not to say,Master's degree
26,26,3,10,10.10958904,Agency,Agency_doors,3,Prefer not to say,Master's degree
27,27,3,10,10.10958904,Agency,Agency_envelopes,2,Prefer not to say,Master's degree
28,28,3,10,10.10958904,Knowledge,Knowledge_pics,-5,Prefer not to say,Master's degree
29,29,3,10,10.10958904,Knowledge,Knowledge_poems,4,Prefer not to say,Master's degree
30,30,3,10,10.10958904,Knowledge,Knowledge_trivia,0,Prefer not to say,Master's degree
31,31,3,10,10.10958904,Novelty,Novelty_animals,0,Prefer not to say,Master's degree
32,32,3,10,10.10958904,Novelty,Novelty_objects,6,Prefer not to say,Master's degree
33,33,3,10,10.10958904,Novelty,Novelty_repetitions,0,Prefer not to say,Master's degree
34,34,3,10,10.10958904,Uncertainty reduction,Uncertainty_cards,-1,Prefer not to say,Master's degree
