,ID,age,age_rounded,category,subCategory,meanDiff,income,degree
1,1,5,5.506849315,Agency,Agency_butterflies,0,between $3000 and $5000,Bachelor's degree
2,1,5,5.506849315,Agency,Agency_doors,0,between $3000 and $5000,Bachelor's degree
3,1,5,5.506849315,Agency,Agency_envelopes,0,between $3000 and $5000,Bachelor's degree
4,1,5,5.506849315,Information,Information_pics,0,between $3000 and $5000,Bachelor's degree
5,1,5,5.506849315,Information,Information_poems,0,between $3000 and $5000,Bachelor's degree
6,1,5,5.506849315,Information,Information_trivia,6,between $3000 and $5000,Bachelor's degree
7,1,5,5.506849315,Novelty,Novelty_animals,0,between $3000 and $5000,Bachelor's degree
8,1,5,5.506849315,Novelty,Novelty_objects,0,between $3000 and $5000,Bachelor's degree
9,1,5,5.506849315,Novelty,Novelty_repetitions,6,between $3000 and $5000,Bachelor's degree
10,1,5,5.506849315,Uncertainty reduction,Uncertainty_cards,6,between $3000 and $5000,Bachelor's degree
11,1,5,5.506849315,Uncertainty reduction,Uncertainty_die,6,between $3000 and $5000,Bachelor's degree
12,1,5,5.506849315,Uncertainty reduction,Uncertainty_pixels,6,between $3000 and $5000,Bachelor's degree
13,2,12,12.65753425,Agency,Agency_butterflies,0,between $2000 and $3000,Bachelor's degree
14,2,12,12.65753425,Agency,Agency_doors,0,between $2000 and $3000,Bachelor's degree
15,2,12,12.65753425,Agency,Agency_envelopes,0,between $2000 and $3000,Bachelor's degree
16,2,12,12.65753425,Information,Information_pics,-5,between $2000 and $3000,Bachelor's degree
17,2,12,12.65753425,Information,Information_poems,0,between $2000 and $3000,Bachelor's degree
18,2,12,12.65753425,Information,Information_trivia,3,between $2000 and $3000,Bachelor's degree
19,2,12,12.65753425,Novelty,Novelty_animals,-2,between $2000 and $3000,Bachelor's degree
20,2,12,12.65753425,Novelty,Novelty_objects,2,between $2000 and $3000,Bachelor's degree
21,2,12,12.65753425,Novelty,Novelty_repetitions,2,between $2000 and $3000,Bachelor's degree
22,2,12,12.65753425,Uncertainty reduction,Uncertainty_cards,4,between $2000 and $3000,Bachelor's degree
23,2,12,12.65753425,Uncertainty reduction,Uncertainty_die,3,between $2000 and $3000,Bachelor's degree
24,2,12,12.65753425,Uncertainty reduction,Uncertainty_pixels,3,between $2000 and $3000,Bachelor's degree
25,3,10,10.10958904,Agency,Agency_butterflies,0,Prefer not to say,Master's degree
