ID,age,age_rounded,category,subCategory,Difference,consistency,cognitive_abilities,income,degree
1,7,7.726027397,Agency,Agency_butterflies,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Agency,Agency_doors,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Social,Control_faces,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Sensory,Control_texture,3,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Knowledge,Information_poems,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Knowledge,Information_trivia,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Novelty,Novelty_animals,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Novelty,Novelty_repetitions,-2,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Uncertainty reduction,Uncertainty_cards,-6,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
1,7,7.726027397,Uncertainty reduction,Uncertainty_pixels,0,-0.508896956,0.166666667,between $1500 and $2000,Master's degree
2,7,7.397260274,Agency,Agency_butterflies,0,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Agency,Agency_doors,3,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Social,Control_faces,1,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Sensory,Control_texture,6,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Knowledge,Information_poems,0,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Knowledge,Information_trivia,6,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Novelty,Novelty_animals,6,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Novelty,Novelty_repetitions,4,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Uncertainty reduction,Uncertainty_cards,2,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
2,7,7.397260274,Uncertainty reduction,Uncertainty_pixels,-3,0.235484955,0.333333333,more than $5000,"Professional degree (e.g., MD, JD)"
3,12,12.82191781,Agency,Agency_butterflies,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Agency,Agency_doors,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Social,Control_faces,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Sensory,Control_texture,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Knowledge,Information_poems,2,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Knowledge,Information_trivia,2,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Novelty,Novelty_animals,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Novelty,Novelty_repetitions,1,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Uncertainty reduction,Uncertainty_cards,0,0.863712318,0.375,Prefer not to say,Master's degree
3,12,12.82191781,Uncertainty reduction,Uncertainty_pixels,0,0.863712318,0.375,Prefer not to say,Master's degree
4,12,12.32876712,Agency,Agency_butterflies,3,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Agency,Agency_doors,3,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Social,Control_faces,1,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Sensory,Control_texture,0,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Knowledge,Information_poems,1,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Knowledge,Information_trivia,4,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Novelty,Novelty_animals,2,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Novelty,Novelty_repetitions,2,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Uncertainty reduction,Uncertainty_cards,3,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
4,12,12.32876712,Uncertainty reduction,Uncertainty_pixels,4,0.646165095,0.583333333,Prefer not to say,Bachelor's degree
